ID,Sex,Region,Children,Est_Income,Car_Owner,Status,Paymethod,LocalBilltype,Customer_Segments,Trips_To_The_Website_Yr,Avg_Spend_Per_Store_Visit,Customer_Loyality_Code,Number_Of_Transactions_Current_Year,Response,Age_BIN
1,F,2,1,38000,N,S,CC,Budget,High Income Families,46,206.08,3,12,Responded,1
6,M,3,2,29616,N,M,CH,FreeLocal,Low Value and No Kids,15,45.5,2,15,Did Not Respond,3
8,M,1,0,19732.8,N,M,CC,FreeLocal,High Income Families,9,22.44,3,12,Did Not Respond,3
11,M,3,2,96.33,N,S,CC,Budget,High Income Families,12,32.88,1,13,Did Not Respond,4
14,F,3,2,52004.8,N,M,CH,Budget,Low Value and No Kids,6,23.11,1,3,Responded,1
17,M,3,2,53010.8,N,M,CC,FreeLocal,High Income Families,12,46.42,1,6,Did Not Respond,1
18,M,2,1,75004.5,N,M,CC,Budget,High Income Families,12,32.19,1,13,Did Not Respond,5
21,M,1,0,19749.3,N,M,CC,Budget,High Income Families,7,13.94,3,10,Did Not Respond,4
22,M,2,1,57626.9,Y,S,CC,Budget,High Income Families,10,38.96,2,5,Did Not Respond,3
23,M,3,2,20078,N,M,CC,Budget,High Income Families,3,6.33,4,5,Did Not Respond,2
24,F,3,2,47902,N,M,Auto,FreeLocal,Married No Kids,14,49.92,2,9,Did Not Respond,2
29,M,2,1,7545.96,Y,M,CC,Budget,High Income Families,40,178.36,3,11,Responded,1
35,F,1,0,78851.3,N,S,CC,FreeLocal,High Income Families,6,28.66,4,0,Did Not Respond,3
36,F,2,1,17540.7,Y,S,Auto,Budget,Married No Kids,7,13.45,4,11,Responded,4
37,F,1,0,83891.9,Y,M,CH,Budget,Low Value and No Kids,15,45.47,4,14,Responded,4
38,F,3,2,28220.8,N,M,CC,FreeLocal,High Income Families,8,12.46,4,13,Responded,3
40,F,1,0,28589.1,N,S,CC,FreeLocal,High Income Families,20,87.09,4,7,Responded,1
42,F,3,2,5237.63,N,M,CC,Budget,High Income Families,16,56.64,2,7,Did Not Respond,3
45,M,3,2,89459.9,N,S,CC,FreeLocal,High Income Families,7,22.9,2,6,Responded,4
