"ID","Gender","Status","Children","Est Income","Car Owner","Age","LongDistance","International","Local","DroppedPeak","DroppedOffPeak","Paymethod","LocalBilltype","LongDistanceBilltype","Usage","RatePlan","CHURN"
"1","F","S","1","38000.00","N","24.393333","23.56","0.00","206.08","3","0","CC","Budget","Intnl_discount","229.64","3","T"
"6","M","M","2","29616.00","N","49.426667","29.78","0.00","45.50","2","0","CH","FreeLocal","Standard","75.29","2","F"
"8","M","M","0","19732.80","N","50.673333","2se4.81","0.00","22.44","5","0","CC","FreeLocal","Standard","47.25","3","F"
"11","M","S","2","96.33","N","56.473333","26.13","0.00","32.88","0","1","CC","Budget","Standard","59.01","1","F"
"14","F","M","2","52004.80","N","25.14","5.03","0.00","23.11","0","0","CH","Budget","Intnl_discount","28.14","1","F"
"17","M","M","2","53010.80","N","18.84","12.45","0.00","46.42","0","4","CC","FreeLocal","Standard","58.87","1","F"
"18","M","M","1","75004.50","N","64.80","26.52","0.00","32.19","2","0","CC","Budget","Intnl_discount","58.72","1","F"
"21","M","M","0","19749.30","N","60.366667","20.22","0.00","13.94","6","0","CC","Budget","Standard","34.17","3","F"
"22","M","S","1","57626.90","Y","43.906667","9.38","0.00","38.96","1","0","CC","Budget","Standard","48.35","2","F"
"23","M","M","2","20078.00","N","32.846667","9.65","0.00","6.33","1","0","CC","Budget","Intnl_discount","15.98","4","F"
"24","F","M","2","47902.00","N","26.033333","17.44","4.94","49.92","1","1","Auto","FreeLocal","Standard","72.31","2","F"
"29","M","M","1","7545.96","Y","16.753333","22.39","0.00","178.36","2","0","CC","Budget","Standard","200.75","3","T"
"35","F","S","0","78851.30","N","48.373333","0.37","0.00","28.66","1","0","CC","FreeLocal","Standard","29.04","4","T"
"36","F","S","1","17540.70","Y","62.786667","22.17","0.57","13.45","1","0","Auto","Budget","Standard","36.20","4","T"
"37","F","M","0","83891.90","Y","61.02","28.92","0.00","45.47","8","0","CH","Budget","Standard","74.40","4","T"
"38","F","M","2","28220.80","N","38.766667","26.49","0.00","12.46","1","0","CC","FreeLocal","Standard","38.95","4","T"
"40","F","S","0","28589.10","N","15.60","13.19","0.00","87.09","2","0","CC","FreeLocal","Standard","100.28","4","T"
