"ID","Income","AppliedOnline","Residence","Yrs at Current Address","Yrs with Current Employer","Number of Cards","Creditcard Debt","Loans","Loan Amount","SalePrice","Location","MortgageDefault"
"100272.00","43593.00","YES","Owner Occupier","13.00","0.00","1.00","2315.00","0.00","12820.00","180000","130","NO"
"100273.00","45706.00","YES","Owner Occupier","17.00","16.00","2.00","373.00","1.00","7275.00","145000","100","YES"
"100279.00","44756.00","YES","Owner Occupier","19.00","6.00","1.00","2117.00","1.00","10760.00","145000","110","NO"
"100280.00","44202.00","YES","Owner Occupier","8.00","0.00","2.00","748.00","0.00","10455.00","170000","100","NO"
"100282.00","45715.00","YES","Owner Occupier","8.00","14.00","2.00","772.00","1.00","12985.00","137000","100","NO"
"100283.00","43800.00","YES","Owner Occupier","0.00","4.00","2.00","725.00","0.00","7340.00","259000","100","NO"
"100284.00","45049.00","YES","Public Housing","6.00","16.00","2.00","1345.00","1.00","9085.00","280000","110","NO"
"100285.00","44974.00","YES","Public Housing","14.00","18.00","2.00","2772.00","0.00","9515.00","264000","130","NO"
"100288.00","44956.00","NO","Owner Occupier","21.00","21.00","2.00","806.00","1.00","8150.00","170000","100","YES"
"100292.00","56087.00","NO","Public Housing","27.00","18.00","1.00","4818.00","1.00","8910.00","95000","101","NO"
"100293.00","48336.00","NO","Owner Occupier","16.00","2.00","2.00","1227.00","0.00","3705.00","575000","120","YES"
"100294.00","55642.00","YES","Private Renting","4.00","22.00","2.00","240.00","0.00","5925.00","349900","130","NO"
"100295.00","52725.00","YES","Private Renting","26.00","9.00","2.00","12.00","0.00","4415.00","98000","100","NO"
"100303.00","43795.00","YES","Public Housing","17.00","5.00","2.00","1171.00","0.00","11285.00","153000","100","YES"
"100306.00","43650.00","YES","Public Housing","8.00","12.00","1.00","267.00","0.00","7800.00","355000","100","NO"
"100310.00","43972.00","YES","Private Renting","0.00","13.00","1.00","340.00","1.00","7410.00","525000","100","YES"
"100311.00","43330.00","YES","Owner Occupier","9.00","6.00","1.00","25.00","1.00","9630.00","355000","100","NO"
"100319.00","59193.00","YES","Owner Occupier","26.00","0.00","2.00","2295.00","1.00","7350.00","525000","100","NO"
"100320.00","44483.00","NO","Owner Occupier","16.00","15.00","2.00","116.00","0.00","7535.00","245000","130","YES"
"100321.00","43185.00","YES","Owner Occupier","1.00","9.00","2.00","1646.00","0.00","8125.00","235000","100","NO"
"100322.00","50295.00","NO","Owner Occupier","3.00","12.00","1.00","298.00","0.00","6140.00","950000","110","NO"
"100323.00","46955.00","NO","Owner Occupier","16.00","1.00","2.00","201.00","1.00","3380.00","210000","120","YES"
"100324.00","51383.00","NO","Owner Occupier","19.00","12.00","2.00","1119.00","1.00","7955.00","222500","101","NO"
"100325.00","52540.00","YES","Sheltered","0.00","15.00","2.00","397.00","0.00","8250.00","215000","120","YES"
"100326.00","55897.00","NO","Private Renting","13.00","2.00","2.00","315.00","0.00","9690.00","240000","120","NO"
"100329.00","44781.00","YES","Owner Occupier","15.00","4.00","1.00","331.00","0.00","10165.00","150000","100","NO"
"100330.00","45217.00","YES","Private Renting","19.00","8.00","1.00","732.00","0.00","5860.00","240000","120","YES"
"100334.00","44895.00","YES","Owner Occupier","8.00","0.00","2.00","888.00","1.00","8915.00","310000","100","YES"
"100337.00","45209.00","YES","Owner Occupier","4.00","9.00","2.00","658.00","0.00","11420.00","185000","101","YES"
"100338.00","45813.00","NO","Owner Occupier","10.00","13.00","1.00","59.00","0.00","7385.00","103000","101","YES"
"100342.00","43202.00","YES","Owner Occupier","17.00","7.00","1.00","1412.00","1.00","8925.00","650000","101","NO"
"100343.00","45687.00","YES","Public Housing","22.00","16.00","2.00","1064.00","1.00","8465.00","349000","100","NO"
"100344.00","49745.00","NO","Private Renting","24.00","6.00","1.00","518.00","1.00","5915.00","170000","120","NO"
"100345.00","53552.00","YES","Owner Occupier","19.00","22.00","2.00","1255.00","1.00","4430.00","159900","100","YES"
"100346.00","52118.00","YES","Private Renting","17.00","22.00","2.00","2771.00","1.00","8390.00","165000","100","YES"
"100347.00","55554.00","YES","Public Housing","27.00","0.00","1.00","708.00","0.00","8615.00","235000","100","NO"
"100348.00","54792.00","YES","Owner Occupier","22.00","17.00","1.00","1223.00","0.00","6915.00","254500","130","YES"
