ID,Income,AppliedOnline,Residence,Yrs at Current Address,Yrs with Current Employer,Number of Cards,Creditcard Debt,Loans,Loan Amount
100272.000000,43593.000000,"YES","Owner Occupier",13.000000,0.000000,1.000000,2315.000000,0.000000,12820.000000
100273.000000,45706.000000,"YES","Owner Occupier",17.000000,16.000000,2.000000,373.000000,1.000000,7275.000000
100279.000000,44756.000000,"YES","Owner Occupier",19.000000,6.000000,1.000000,2117.000000,1.000000,10760.000000
100280.000000,44202.000000,"YES","Owner Occupier",8.000000,0.000000,2.000000,748.000000,0.000000,10455.000000
100282.000000,45715.000000,"YES","Owner Occupier",8.000000,14.000000,2.000000,772.000000,1.000000,12985.000000
100283.000000,43800.000000,"YES","Owner Occupier",0.000000,4.000000,2.000000,725.000000,0.000000,7340.000000
100284.000000,45049.000000,"YES","Public Housing",6.000000,16.000000,2.000000,1345.000000,1.000000,9085.000000
100285.000000,44974.000000,"YES","Public Housing",14.000000,18.000000,2.000000,2772.000000,0.000000,9515.000000
100288.000000,44956.000000,"NO","Owner Occupier",21.000000,21.000000,2.000000,806.000000,1.000000,8150.000000
100292.000000,56087.000000,"NO","Public Housing",27.000000,18.000000,1.000000,4818.000000,1.000000,8910.000000
100293.000000,48336.000000,"NO","Owner Occupier",16.000000,2.000000,2.000000,1227.000000,0.000000,3705.000000
100294.000000,55642.000000,"YES","Private Renting",4.000000,22.000000,2.000000,240.000000,0.000000,5925.000000
100295.000000,52725.000000,"YES","Private Renting",26.000000,9.000000,2.000000,12.000000,0.000000,4415.000000
100303.000000,43795.000000,"YES","Public Housing",17.000000,5.000000,2.000000,1171.000000,0.000000,11285.000000
100306.000000,43650.000000,"YES","Public Housing",8.000000,12.000000,1.000000,267.000000,0.000000,7800.000000
100310.000000,43972.000000,"YES","Private Renting",0.000000,13.000000,1.000000,340.000000,1.000000,7410.000000
100311.000000,43330.000000,"YES","Owner Occupier",9.000000,6.000000,1.000000,25.000000,1.000000,9630.000000
100319.000000,59193.000000,"YES","Owner Occupier",26.000000,0.000000,2.000000,2295.000000,1.000000,7350.000000
100320.000000,44483.000000,"NO","Owner Occupier",16.000000,15.000000,2.000000,116.000000,0.000000,7535.000000
100321.000000,43185.000000,"YES","Owner Occupier",1.000000,9.000000,2.000000,1646.000000,0.000000,8125.000000
100322.000000,50295.000000,"NO","Owner Occupier",3.000000,12.000000,1.000000,298.000000,0.000000,6140.000000
100323.000000,46955.000000,"NO","Owner Occupier",16.000000,1.000000,2.000000,201.000000,1.000000,3380.000000
100324.000000,51383.000000,"NO","Owner Occupier",19.000000,12.000000,2.000000,1119.000000,1.000000,7955.000000
100325.000000,52540.000000,"YES","Sheltered",0.000000,15.000000,2.000000,397.000000,0.000000,8250.000000
100326.000000,55897.000000,"NO","Private Renting",13.000000,2.000000,2.000000,315.000000,0.000000,9690.000000
100329.000000,44781.000000,"YES","Owner Occupier",15.000000,4.000000,1.000000,331.000000,0.000000,10165.000000
100330.000000,45217.000000,"YES","Private Renting",19.000000,8.000000,1.000000,732.000000,0.000000,5860.000000
100334.000000,44895.000000,"YES","Owner Occupier",8.000000,0.000000,2.000000,888.000000,1.000000,8915.000000
100337.000000,45209.000000,"YES","Owner Occupier",4.000000,9.000000,2.000000,658.000000,0.000000,11420.000000
100338.000000,45813.000000,"NO","Owner Occupier",10.000000,13.000000,1.000000,59.000000,0.000000,7385.000000
100342.000000,43202.000000,"YES","Owner Occupier",17.000000,7.000000,1.000000,1412.000000,1.000000,8925.000000
100343.000000,45687.000000,"YES","Public Housing",22.000000,16.000000,2.000000,1064.000000,1.000000,8465.000000
100344.000000,49745.000000,"NO","Private Renting",24.000000,6.000000,1.000000,518.000000,1.000000,5915.000000
100345.000000,53552.000000,"YES","Owner Occupier",19.000000,22.000000,2.000000,1255.000000,1.000000,4430.000000
100346.000000,52118.000000,"YES","Private Renting",17.000000,22.000000,2.000000,2771.000000,1.000000,8390.000000
100347.000000,55554.000000,"YES","Public Housing",27.000000,0.000000,1.000000,708.000000,0.000000,8615.000000
100348.000000,54792.000000,"YES","Owner Occupier",22.000000,17.000000,1.000000,1223.000000,0.000000,6915.000000
100350.000000,52973.000000,"NO","Public Housing",13.000000,3.000000,1.000000,2535.000000,0.000000,9365.000000
100352.000000,52961.000000,"YES","Public Housing",17.000000,4.000000,1.000000,1853.000000,1.000000,11950.000000
100353.000000,43908.000000,"NO","Public Housing",18.000000,15.000000,1.000000,4242.000000,0.000000,7915.000000
100354.000000,57718.000000,"YES","Owner Occupier",25.000000,16.000000,2.000000,1555.000000,1.000000,6285.000000
100360.000000,44052.000000,"YES","Owner Occupier",13.000000,5.000000,2.000000,375.000000,0.000000,9305.000000
100361.000000,44613.000000,"NO","Public Housing",17.000000,11.000000,2.000000,2134.000000,0.000000,4215.000000
100363.000000,44193.000000,"YES","Public Housing",18.000000,3.000000,1.000000,260.000000,0.000000,6605.000000
100365.000000,45115.000000,"YES","Private Renting",11.000000,13.000000,2.000000,5189.000000,1.000000,16935.000000
100367.000000,43645.000000,"YES","Owner Occupier",5.000000,13.000000,2.000000,502.000000,0.000000,4600.000000
100368.000000,43474.000000,"YES","Living with parents/guardian",17.000000,1.000000,1.000000,270.000000,1.000000,5315.000000
